seq,title,url,image_url,ingredients_text,steps_text,tags,publish_date
C01-0219,【食譜】脆皮雞蛋糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0219,https://d3l76hx23vw40a.cloudfront.net/recipe/yb23-014.jpg,【材　料】、A.奶油:50公克、牛奶:50公克、B.低筋麵粉:100公克、澄粉:20公克、泡打粉:2公克、C.蛋黃:80公克、細砂糖:30公克、鹽:1公克、香草精:數滴、D.蛋白:150公克、細砂糖:70公克、檸檬汁:5cc,"1. 1.取一鋼盆，放入材料A，開小火煮至85℃後熄火。
2. 2.將材料B過篩備用。
3. 3.另取一鋼盆，放入材料C用直型打蛋器拌勻，再加入作法1和作法2拌勻成蛋糊。
4. 4.再取一個乾淨鋼盆，放入材料D拌打至溼性發泡備用。
5. 5.將作法4取適量加入作法3中拌均勻，再全部加入拌勻，即為脆皮雞蛋糕麵糊。
6. 6.將倉鼠形烤模放在爐上以小火預熱後，再用毛刷塗抹上一層薄薄奶油，將脆皮雞蛋糕麵糊倒入烤模的凹槽內（接近全滿），再蓋上蓋子快速翻面，讓模型整個沾黏上麵糊，然後待烤至上色後（約2∼3分鐘），用尖錐或竹籤從接縫處挑起即可。",,
C01-0218,【食譜】傳統雞蛋糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0218,https://d3l76hx23vw40a.cloudfront.net/recipe/yb23-011.jpg,【材　料】、A.全蛋:250公克、細砂糖:100公克、鹽:少許、香草精:少許、B.低筋麵粉:100公克、澄粉:20公克、C.奶油:30公克,"1. 1.將鋼盆中加水，開中火煮至50℃之水溫（即手指試溫有熱的感覺）後轉小火備用。
2. 2.再取另一鋼盆，放入材料A，置於作法1上，邊用直型打蛋器攪拌至與人體同溫，即可移開。",,
C01-0325,【食譜】海綿蛋糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0325,https://d3l76hx23vw40a.cloudfront.net/recipe/qk07-014.jpg,【材　料】、蛋:5個、細砂糖:125公克、低筋麵粉:100公克、沙拉油:30公克、牛奶:30公克,"1. 1.將蛋、細砂糖放入容器內，一起打發至呈乳白色。
2. 2.於作法2中加入過篩的低筋麵粉一起拌勻至無乾粉狀，備用。
3. 3.取鍋，放入沙拉油、牛奶一起加熱煮成60度溫的。
4. 4.再將作法3材料倒入作法2中仔細拌勻。
5. 5.將作法4的麵糊倒進8吋蛋糕模中約9分滿，放入已預熱的烤箱中，以上火180℃、下火180℃烤約35分鐘即可出爐。
6. 6.海綿蛋糕一出爐就立刻倒扣放涼，以免因遇冷收縮。
7. 7.待蛋糕完全冷卻，以雙手沿模型邊緣向下快速輕壓蛋糕體，迅速脫模。",,
C01-0761,【食譜】德式布丁塔:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0761,https://d3l76hx23vw40a.cloudfront.net/recipe/aa004-024.jpg,【材　料】、A.奶油:85公克、糖粉:85公克、鹽:2公克、全蛋:45公克、低筋麵粉:175公克、高筋麵粉:25公克、B.奶油乳酪:40公克、鮮奶:160公克、砂糖:30公克、香草莢:1/2條、動物性鮮奶油:200公克、蘭姆酒:8公克、蛋黃:80公克,"1. 1.奶油放室溫軟化。
2. 2.取盆放入作法1的奶油，再加入糖粉、鹽、全蛋、低筋麵粉、高筋麵粉拌勻成糰。
3. 3.將作法2的麵糰以保鮮膜包起，後放入冰箱冷藏放4小時。
4. 4.取出麵糰?平，鋪入塔模中備用。
5. 5.奶油乳酪、鮮奶、砂糖、香草莢放入鍋中以小火煮至糖融化，加入動物性鮮奶油、蘭姆酒、蛋黃拌勻。
6. 6.將作法5倒入作法4的塔皮中，以上火200/下火180℃烤約25分鐘即可。",,
C01-0641,【食譜】用電子鍋做蛋糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0641,https://d3l76hx23vw40a.cloudfront.net/recipe/m569.jpg,【材　料】、全蛋:200g、細砂糖:200g、低筋麵粉:170g、沙拉油:50g,"1. 1.蛋與糖一併用打蛋器打發，打發到紋路很深，麵糊可拉長1-2公分。
2. 2.麵粉過篩之後加入麵糊中，用刮刀拌勻，再加入沙拉油拌勻。
3. 3.麵糊到入電子鍋內鍋，使用炊飯功能。
4. 4.烤焙完成，到扣將蛋糕脫模即可",,
C01-0638,Ąi­čĂĐĄjÁúŠĄš§»GÁç(1):www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0638,https://d3l76hx23vw40a.cloudfront.net/recipe/m550.jpg,,,,
C01-0645,【食譜】用電鍋蒸馬拉糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0645,https://d3l76hx23vw40a.cloudfront.net/recipe/m699.jpg,【材　料】、中筋麵粉:200公克、糖:200公克、吉士粉:20公克、雞蛋:5個、泡打粉:15公克、溶化的奶油:50公克、奶水:100㏄、沙拉油:50公克、水:少許,"1. 1.麵粉、糖、吉士粉加入攪拌盆中，攪拌均勻，雞蛋加入拌勻成無顆粒的濃稠麵糊，要攪拌到麵糊光華，糖全部溶化。
2. 2.奶水加入麵糊中，充分拌勻，用保鮮膜封起，再靜置2小時鬆弛。
3. 3.電鍋加4杯水，放入蒸架，開始加熱，8吋烤膜內部抹上油備用。
4. 4.泡打粉加少許水調開，再加入麵糊中攪勻。
5. 5.奶油與沙拉油加入麵糊中，再充分拌勻，將拌好的麵糊加入烤膜中，約4-5公分厚，烤膜放入已冒大量水氣充分預熱的電鍋中，蓋上鍋蓋加熱40分鐘。
6. 6.時間到即可取出，略放涼之後即可脫膜分切。",,
C01-0595,【食譜】雞蛋糕(4):www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0595,https://d3l76hx23vw40a.cloudfront.net/recipe/m77.jpg,【材　料】、全蛋:4顆、細砂糖:120g、低筋麵粉:140g、鮮奶:60g、泡打粉:2g、奶油:60公克,"1. 1.雞蛋糕的模型先預熱開小火。
2. 2.先把四顆全蛋打到盆中用攪拌器打發，再把細砂糖分次倒入盆中打發。
3. 3.低筋麵粉和泡打粉混和攪拌過篩，加入麵糊中，這時用刮板拌勻。
4. 4.再加入牛奶攪拌均勻後，最後加入奶油攪拌均勻，這樣雞蛋糕麵糊就完成。
5. 5.雞蛋糕的模型預熱完成，這時約160度左右，在雞蛋糕模型上擦上薄薄的沙拉油，不要有油在裡面。
6. 6.溫度好之後就把先前做好的麵糊倒入，倒入約五分滿即可，因為麵糊預熱會膨脹，大約用插針感覺到麵糊約無流質狀，就可以把兩個合起組成漂亮的形狀，無流狀後就可取出至網架上，這樣就完成雞蛋糕。",,
C01-125,【食譜】傳統茶葉蛋:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-125,https://d3l76hx23vw40a.cloudfront.net/recipe/hq03-008.jpg,【材　料】、A.雞蛋:6顆、鹽:1大匙、B.萬用滷包:1包、八角:3粒、紅茶茶包:2包、烏龍茶葉:10公克、醬油:1/2杯、冰糖:1大匙、鹽:1小匙,"1. 1.取一盆水以海綿布輕輕將雞蛋外殼洗淨備用。
2. 2.將萬用滷包放入電鍋的內鍋中,再放入作法1的雞蛋，加入鹽及所有材料B(萬用滷包除外)。
3. 3.於作法2的內鍋中注入剛好蓋過所有雞蛋的水量。
4. 4.於電鍋的外鍋注入2杯水並按下開關。
5. 5.煮沸過程每隔3∼5分鐘需將材料及蛋翻動一下，並使用湯匙將蛋殼均勻敲裂。
6. 6.待開關跳起時，茶葉蛋仍靜置燜入上色入味。",,
C01-044,【食譜】糖心蛋:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-044,https://d3l76hx23vw40a.cloudfront.net/recipe/bk29-032a.jpg,【材　料】、雞蛋:10個、辣椒:2根、糖心蛋滷包:1包、【調 味 料】、醬油:200cc 冰糖 1大匙、冰糖:1大匙,"1. 1.將材料中的滷包、水600cc、醬油、冰糖、辣椒放入鍋子中，浸泡20分鐘後煮滾後，放涼備用。
2. 2.雞蛋洗淨，放入鍋中，加水蓋過雞蛋，加入1大匙鹽，水煮至80℃，燜煮3分鐘，熄火後再燜10分鐘，取出後馬上泡在冷水中，約5分鐘後剝去蛋殼備用。
3. 3.將雞蛋放入作法1已經冷卻的滷汁中，放入冰箱，浸泡2天以上，讓蛋入味即可。",,
